Track Object Material Regime X_Rate Y_Rate Z_Rate Original_Length Pad
1 antenna_1.stl SPECULAR STABLE 0.0 0.0 0.0 400 0.0
10 cone_3.stl DIFFUSE TUMBLING 2.879 1.007 0.851 400 0.0
100 panel_1.stl DIFFUSE TUMBLING 0.0 0.457 2.321 400 0.0
1000 rod_3.stl DIFFUSE TUMBLING 2.255 1.958 1.197 400 0.0
1002 bus_1.stl DIFFUSE STABLE 2.463 0.0 0.0 400 0.0
1006 bus_1.stl DIFFUSE TUMBLING 2.572 2.51 0.0 400 0.0
1008 bus_2.stl DIFFUSE STABLE 0.0 0.0 1.251 400 0.0
1009 panel_3.stl SPECULAR STABLE 0.0 0.0 0.0 393 0.018
101 bus_2.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1010 cone_3.stl DIFFUSE STABLE 0.419 0.0 0.0 400 0.0
1012 panel_1.stl SPECULAR STABLE 0.0 0.0 0.0 400 0.0
1014 cone_1.stl DIFFUSE TUMBLING 1.256 0.0 0.27 383 0.043
1015 bus_3.stl DIFFUSE TUMBLING 0.958 0.409 2.135 400 0.0
1016 rod_3.stl DIFFUSE STABLE 2.962 0.0 0.0 400 0.0
1018 rod_3.stl DIFFUSE TUMBLING 1.076 2.276 2.232 400 0.0
1019 bus_1.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1021 rod_1.stl DIFFUSE TUMBLING 1.397 0.0 1.45 351 0.122
1022 bus_1.stl DIFFUSE STABLE 0.0 0.902 0.0 400 0.0
1025 panel_2.stl SOLAR TUMBLING 2.155 0.0 1.054 400 0.0
1027 rod_1.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1029 bus_2.stl DIFFUSE STABLE 0.0 0.0 1.245 400 0.0
103 rod_3.stl DIFFUSE TUMBLING 2.982 2.331 0.0 378 0.055
1030 bus_3.stl DIFFUSE STABLE 0.748 0.0 0.0 400 0.0
1031 antenna_3.stl SPECULAR TUMBLING 2.651 0.767 1.612 400 0.0
1032 panel_2.stl DIFFUSE STABLE 2.728 0.0 0.0 400 0.0
1033 panel_2.stl SOLAR STABLE 0.0 0.0 0.0 400 0.0
1034 bus_2.stl DIFFUSE STABLE 0.301 0.0 0.0 400 0.0
1036 cone_2.stl DIFFUSE STABLE 0.0 0.577 0.0 390 0.025
1037 cone_3.stl DIFFUSE STABLE 0.0 0.0 1.431 400 0.0
1039 panel_1.stl DIFFUSE TUMBLING 2.28 3.029 1.32 400 0.0
1041 cone_1.stl DIFFUSE STABLE 0.0 0.0 2.639 400 0.0
1042 bus_1.stl DIFFUSE TUMBLING 2.609 1.092 2.781 400 0.0
1043 panel_1.stl SPECULAR TUMBLING 0.285 1.312 1.808 400 0.0
1045 panel_3.stl SPECULAR TUMBLING 1.472 1.749 1.357 356 0.11
1046 panel_3.stl SOLAR TUMBLING 0.474 1.757 1.931 400 0.0
1048 bus_2.stl DIFFUSE STABLE 0.0 0.236 0.0 400 0.0
1049 rod_3.stl DIFFUSE STABLE 0.307 0.0 0.0 400 0.0
105 rod_1.stl DIFFUSE TUMBLING 0.0 2.874 1.994 400 0.0
1050 antenna_3.stl SPECULAR STABLE 3.065 0.0 0.0 400 0.0
1054 panel_3.stl SOLAR TUMBLING 0.925 2.301 3.001 400 0.0
1055 antenna_1.stl SPECULAR STABLE 0.0 0.0 0.0 400 0.0
1056 rod_3.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1057 rod_1.stl DIFFUSE STABLE 2.544 0.0 0.0 400 0.0
1058 panel_1.stl SOLAR TUMBLING 0.739 1.665 1.758 400 0.0
1059 cone_3.stl DIFFUSE TUMBLING 0.406 2.428 2.508 400 0.0
106 rod_1.stl DIFFUSE STABLE 0.0 0.0 0.0 380 0.05
1061 rod_2.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1063 panel_2.stl SOLAR STABLE 0.0 0.726 0.0 388 0.03
1064 bus_1.stl DIFFUSE STABLE 2.229 0.0 0.0 400 0.0
1065 rod_1.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1066 cone_1.stl DIFFUSE STABLE 0.0 0.0 0.0 396 0.01
1067 bus_1.stl DIFFUSE STABLE 1.314 0.0 0.0 400 0.0
1069 antenna_1.stl SPECULAR TUMBLING 0.524 2.807 0.407 400 0.0
1070 cone_3.stl DIFFUSE TUMBLING 2.481 2.563 0.0 400 0.0
1071 rod_2.stl DIFFUSE STABLE 0.0 2.647 0.0 400 0.0
1072 antenna_2.stl SPECULAR TUMBLING 2.406 1.613 0.956 400 0.0
1073 panel_3.stl SOLAR TUMBLING 1.262 0.515 2.263 400 0.0
1075 rod_3.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1077 antenna_3.stl SPECULAR TUMBLING 0.0 1.639 1.869 400 0.0
1079 rod_1.stl DIFFUSE STABLE 0.0 2.202 0.0 400 0.0
1080 rod_1.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1081 rod_2.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1082 bus_1.stl DIFFUSE TUMBLING 0.587 2.994 2.865 400 0.0
1083 panel_2.stl DIFFUSE TUMBLING 1.948 1.028 0.0 400 0.0
1084 bus_3.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1085 bus_2.stl DIFFUSE TUMBLING 1.916 3.026 0.697 400 0.0
1086 bus_2.stl DIFFUSE TUMBLING 1.426 2.684 1.118 400 0.0
1087 cone_2.stl DIFFUSE TUMBLING 1.907 1.826 0.839 354 0.115
109 bus_3.stl DIFFUSE STABLE 0.0 1.226 0.0 400 0.0
1092 bus_1.stl DIFFUSE STABLE 0.0 0.0 0.0 354 0.115
1093 panel_3.stl DIFFUSE TUMBLING 1.957 1.548 3.033 400 0.0
1094 antenna_3.stl SPECULAR TUMBLING 0.288 1.972 2.977 400 0.0
1095 bus_2.stl DIFFUSE TUMBLING 0.0 0.558 3.002 400 0.0
1096 rod_1.stl DIFFUSE STABLE 0.0 0.0 0.998 400 0.0
1098 cone_3.stl DIFFUSE STABLE 0.0 0.0 2.833 357 0.107
1099 panel_3.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
11 cone_3.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1100 bus_2.stl DIFFUSE STABLE 0.0 1.696 0.0 400 0.0
1101 antenna_3.stl SPECULAR STABLE 0.0 0.0 0.0 400 0.0
1103 cone_3.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1106 panel_1.stl DIFFUSE TUMBLING 0.0 1.361 2.375 400 0.0
1107 cone_2.stl DIFFUSE STABLE 0.0 0.212 0.0 400 0.0
1108 antenna_3.stl SPECULAR TUMBLING 2.397 0.624 1.894 400 0.0
111 panel_1.stl SPECULAR TUMBLING 1.507 2.733 2.67 400 0.0
1110 cone_3.stl DIFFUSE TUMBLING 0.214 1.537 1.041 400 0.0
1111 panel_3.stl SPECULAR TUMBLING 2.575 0.734 1.589 400 0.0
1112 rod_3.stl DIFFUSE STABLE 0.0 0.928 0.0 400 0.0
1113 rod_2.stl DIFFUSE STABLE 0.99 0.0 0.0 400 0.0
1115 antenna_1.stl SPECULAR TUMBLING 1.541 2.734 0.0 400 0.0
1117 panel_2.stl SPECULAR STABLE 0.0 0.0 3.032 400 0.0
1119 cone_2.stl DIFFUSE TUMBLING 3.053 0.0 2.144 400 0.0
1120 rod_1.stl DIFFUSE TUMBLING 0.0 2.729 2.304 400 0.0
1121 panel_1.stl SOLAR TUMBLING 0.0 2.329 2.063 400 0.0
1123 cone_3.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1125 cone_1.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1128 cone_2.stl DIFFUSE STABLE 1.34 0.0 0.0 400 0.0
1129 rod_1.stl DIFFUSE TUMBLING 0.48 0.0 3.044 400 0.0
113 antenna_3.stl SPECULAR TUMBLING 0.211 0.0 2.123 400 0.0
1132 antenna_2.stl SPECULAR STABLE 1.845 0.0 0.0 400 0.0
1134 rod_2.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1135 cone_2.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1136 antenna_1.stl SPECULAR STABLE 0.257 0.0 0.0 400 0.0
1138 panel_2.stl SPECULAR TUMBLING 1.016 2.609 0.0 400 0.0
114 rod_1.stl DIFFUSE TUMBLING 1.274 2.951 2.839 400 0.0
1140 panel_2.stl SPECULAR STABLE 0.0 0.826 0.0 400 0.0
1142 cone_2.stl DIFFUSE STABLE 0.0 0.0 1.795 400 0.0
1145 rod_1.stl DIFFUSE STABLE 0.0 0.0 0.0 367 0.083
1146 bus_3.stl DIFFUSE STABLE 0.0 2.255 0.0 400 0.0
1147 rod_1.stl DIFFUSE TUMBLING 0.732 0.893 2.218 400 0.0
1148 antenna_2.stl SPECULAR STABLE 0.0 0.0 1.924 400 0.0
1149 antenna_2.stl SPECULAR STABLE 0.0 0.0 0.0 400 0.0
1150 cone_3.stl DIFFUSE STABLE 0.0 2.815 0.0 400 0.0
1151 cone_1.stl DIFFUSE TUMBLING 2.574 1.572 0.0 400 0.0
1152 panel_1.stl SOLAR STABLE 0.0 0.0 1.657 400 0.0
1153 antenna_3.stl SPECULAR TUMBLING 1.087 1.826 0.0 400 0.0
1154 cone_1.stl DIFFUSE TUMBLING 2.444 2.844 0.0 400 0.0
1155 panel_2.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1156 antenna_2.stl SPECULAR TUMBLING 0.632 2.225 0.807 400 0.0
1157 panel_3.stl SPECULAR TUMBLING 2.543 0.324 2.617 400 0.0
1158 rod_1.stl DIFFUSE STABLE 0.0 1.031 0.0 385 0.037
116 antenna_2.stl SPECULAR TUMBLING 2.881 0.709 1.658 400 0.0
1160 panel_2.stl DIFFUSE TUMBLING 2.613 0.0 1.934 400 0.0
1161 panel_3.stl SPECULAR STABLE 0.0 0.0 0.0 400 0.0
1162 bus_2.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1164 antenna_2.stl SPECULAR STABLE 0.0 0.0 0.0 400 0.0
1165 cone_1.stl DIFFUSE TUMBLING 0.32 1.777 0.877 400 0.0
1166 cone_3.stl DIFFUSE STABLE 0.0 0.0 1.625 400 0.0
1167 antenna_2.stl SPECULAR TUMBLING 0.0 0.233 0.504 400 0.0
1171 cone_3.stl DIFFUSE TUMBLING 1.598 2.387 0.216 400 0.0
1174 antenna_3.stl SPECULAR STABLE 0.0 0.0 0.0 400 0.0
1175 cone_1.stl DIFFUSE STABLE 0.0 0.0 2.33 400 0.0
1176 antenna_3.stl SPECULAR TUMBLING 2.812 0.0 2.381 400 0.0
1178 antenna_1.stl SPECULAR STABLE 0.0 3.005 0.0 400 0.0
118 panel_1.stl DIFFUSE STABLE 1.402 0.0 0.0 400 0.0
1180 bus_2.stl DIFFUSE STABLE 0.0 0.0 1.774 400 0.0
1181 rod_3.stl DIFFUSE TUMBLING 1.074 0.0 2.69 400 0.0
1182 bus_3.stl DIFFUSE TUMBLING 2.775 0.378 0.994 400 0.0
1183 panel_2.stl SOLAR STABLE 1.038 0.0 0.0 400 0.0
1184 panel_1.stl DIFFUSE TUMBLING 2.251 0.386 0.0 400 0.0
1185 antenna_1.stl SPECULAR TUMBLING 1.556 2.911 0.0 364 0.09
1187 panel_3.stl SPECULAR STABLE 0.0 0.0 0.0 400 0.0
1188 antenna_1.stl SPECULAR STABLE 0.0 0.0 0.0 400 0.0
1189 bus_2.stl DIFFUSE STABLE 0.0 0.423 0.0 400 0.0
119 antenna_2.stl SPECULAR STABLE 0.0 0.0 0.0 400 0.0
1191 antenna_2.stl SPECULAR STABLE 1.905 0.0 0.0 400 0.0
1193 cone_3.stl DIFFUSE TUMBLING 1.909 1.587 0.0 400 0.0
1194 bus_1.stl DIFFUSE TUMBLING 1.103 0.968 1.372 400 0.0
1196 cone_1.stl DIFFUSE TUMBLING 0.484 1.938 0.0 400 0.0
1197 panel_3.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
12 antenna_3.stl SPECULAR STABLE 0.451 0.0 0.0 400 0.0
1200 bus_3.stl DIFFUSE TUMBLING 0.0 2.894 2.489 400 0.0
1205 bus_2.stl DIFFUSE TUMBLING 0.0 2.113 1.081 400 0.0
1209 cone_1.stl DIFFUSE STABLE 1.612 0.0 0.0 400 0.0
121 panel_1.stl SPECULAR TUMBLING 1.039 1.363 1.168 400 0.0
1211 bus_3.stl DIFFUSE STABLE 0.0 1.199 0.0 400 0.0
1212 antenna_3.stl SPECULAR TUMBLING 1.674 2.557 0.0 400 0.0
1213 rod_2.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1214 cone_2.stl DIFFUSE TUMBLING 0.422 0.565 1.559 400 0.0
1216 panel_3.stl SPECULAR TUMBLING 2.566 2.883 0.694 400 0.0
1217 rod_2.stl DIFFUSE TUMBLING 3.066 0.0 2.534 400 0.0
122 panel_1.stl SOLAR TUMBLING 1.775 0.982 0.0 400 0.0
1221 panel_3.stl SPECULAR TUMBLING 0.283 2.774 2.452 400 0.0
1223 rod_1.stl DIFFUSE TUMBLING 0.0 2.2 0.547 400 0.0
1227 panel_2.stl SPECULAR TUMBLING 0.0 3.098 1.796 371 0.072
1229 panel_2.stl SPECULAR TUMBLING 1.82 3.033 0.0 400 0.0
123 bus_2.stl DIFFUSE STABLE 1.461 0.0 0.0 400 0.0
1232 rod_1.stl DIFFUSE STABLE 0.0 0.0 0.0 386 0.035
1233 panel_3.stl DIFFUSE TUMBLING 2.005 0.0 1.046 400 0.0
1234 antenna_1.stl SPECULAR TUMBLING 1.914 1.29 0.0 400 0.0
1235 cone_3.stl DIFFUSE TUMBLING 2.813 0.0 1.792 400 0.0
1238 cone_1.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
124 cone_3.stl DIFFUSE STABLE 0.0 0.0 0.727 400 0.0
1240 rod_3.stl DIFFUSE TUMBLING 2.931 0.433 0.344 390 0.025
1241 rod_3.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
1242 cone_3.stl DIFFUSE TUMBLING 2.108 2.162 0.0 400 0.0
1243 panel_3.stl SPECULAR STABLE 0.0 0.0 0.0 400 0.0
1244 antenna_2.stl SPECULAR TUMBLING 0.0 0.349 1.673 400 0.0
1245 panel_1.stl DIFFUSE STABLE 0.0 0.0 0.0 400 0.0
